gameName,gameUrl,contentType,discount
1942: Joint Strike,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584108AA,Xbox 360,90%
[PROTOTYPE],https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024156084E,Xbox 360,70%
ADRENALIN MISFITS,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d8024b4e0819,Xbox 360,75%
Air Conflicts: Secret Wars,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024B5907E0,Xbox 360,85%
Alien Rage,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258410B22,Xbox 360,90%
Alone In The Dark,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802494707D1,Xbox 360,75%
ArcaniA,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024A5707D2,Xbox 360,75%
Batman: Arkham Asylum,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802534307F6,Xbox 360,75%
Batman: Arkham City,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80257520802,Xbox 360,75%
Batman: Arkham Origins Blackgate – Deluxe Edition,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D80258411441,Xbox 360,75%
Big League Sports,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802415608CE,Xbox 360,50%
Bionic Commando,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802434307DD,Xbox 360,90%
Bionic Commando: Rearmed,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584108F1,Xbox 360,90%
Birds of Steel,https://marketplace.xbox.com/en-US/Product/66acd000-77fe-1000-9115-d8024b4e0839,Xbox 360,75%
Black Knight Sword,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D8025841123B,Xbox 360,75%
Blood Drive,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D8024156088D,Xbox 360,70%
Bloody Good Time,https://marketplace.xbox.com/en-US/Product/66ACD000-77FE-1000-9115-D802584109B3,Xbox 360,80%
Brink,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802425307D9,Xbox 360,85%
Bulletstorm,https://marketplace.xbox.com/pt-BR/Product/66ACD000-77FE-1000-9115-D802454108EF,Xbox 360,90%
